id,source,url,headline,abstract,img_url,publish_time
kr36_news|3900918550546308,kr36_news,https://36kr.com/p/3900918550546308,刚刚，Fable 5官宣永久可用,Kimi K3发布搅动AI圈，美头部AI厂商降价放额度,https://img.36krcdn.com/hsossms/20260718/v2_dbed4306f8214098879adcfe48adf6f5@5667365@ai_oswg881651oswg1053oswg495_img_png~tplv-1marlgjv7f-ai-v3:600:400:600:400:q70.jpg,2026-07-18 17:01:34
wscn_news|3777307,wscn_news,https://wallstreetcn.com/articles/3777307,上游订单爆表、下游不计代价！“大空头”查诺斯：AI这笔账为什么算不过来,查诺斯表示，超大云厂商正基于短期现货定价进行长达二十年的资产决策，大量GPU设备因堆积仓库、归入在建工程而推迟折旧计提，掩盖了技术贬值和利润虚高。云厂商增量资本回报率已由40%腰斩至20%，未来若跌破10%，巨头管理层将被迫减速，从而引爆整个AI生态。,https://wpimg-wscn.awtmt.com/5fcf3a79-6b0c-4a31-bfee-9db961df8083.png,2026-07-18 16:47:17
wscn_news|3777301,wscn_news,https://wallstreetcn.com/articles/3777301,阿里云WAIC论坛： “AI爆发不靠一两颗芯片”、SaaS将转向“按结果付费”、模型不再是唯一核心,阿里云WAIC论坛释放信号：智能体正成为云计算的“第一用户”，企业对AI的需求将从模型调用转向可量化的业务结果。李飞飞提出AI SaaS或将走向“按结果付费”，Mark Collier则称“模型不再是唯一核心”。阿里云同步展示了面向智能体的算力、缓存、数据库、沙箱、安全及团队协作能力，物流、开源研发等场景已披露效率改善数据。,https://wpimg-wscn.awtmt.com/39c894da-ac4a-4ff7-a4fd-34316080e2bc.jpeg,2026-07-18 16:39:43
qbitai_news|453789,qbitai_news,https://www.qbitai.com/2026/07/453789.html,妙啊！无人机直连卫星传Token,世界人工智能大会最高奖,https://www.qbitai.com/wp-content/uploads/2026/07/f3d4b28ee316c2126b110b8596084ad4.png,2026-07-18 16:17:18
tmtpost_news|8070209,tmtpost_news,https://www.tmtpost.com/8070209.html,TRAE Work上线 40 万字的“AI 打工说明书”！一手实测在此,普通人用AI的门槛更低了,https://images.tmtpost.com/uploads/images/2026/07/d28798f19b643ce3a5549a0563a45a15_1784360414.png,2026-07-18 15:54:10
tmtpost_news|8070249,tmtpost_news,https://www.tmtpost.com/8070249.html,三次冲击，对应三种不同的价格信号,中国AI的商业化叙事，变了,https://images.tmtpost.com/uploads/images/2026/07/222f5a2daf1f0546c5573ff4d5b08bce_1784360841.png,2026-07-18 15:54:09
tmtpost_news|8070307,tmtpost_news,https://www.tmtpost.com/8070307.html,"算力定价权的转移——从""你有多少张卡""到""Token成本多少""","WAIC 2026真正信号不在超节点展品参数，而在于客户提问从""多少张卡""变为""Token成本和时延""。这折射算力从固定资产转向运营支出、需求从训练转向推理、竞争从产能规模转向成本效率，预示产业链估值坐标正从芯片数量向单位Token经济性迁移。",https://images.tmtpost.com/uploads/images/2026/07/501483707ddf53ccca0b44acb91fbdef_1784359456.png,2026-07-18 15:32:20
tmtpost_news|8069817,tmtpost_news,https://www.tmtpost.com/8069817.html,实测Kimi K3：强得意外，慢得着急,能力上限高，但体验还没完全跟上。,https://images.tmtpost.com/uploads/images/2026/07/25827fead103df45f3729816023e4bf4_1784356095.png,2026-07-18 15:24:00
qbitai_news|453705,qbitai_news,https://www.qbitai.com/2026/07/453705.html,后摩智能携 M50 Inside 终端亮相 WAIC 2026，支撑端侧 AI 算力与终端创新,本地大模型规模化商用破局,https://www.qbitai.com/wp-content/uploads/2026/07/5714bcb27c58197c3fbcf3956a3ed84c.jpeg,2026-07-18 15:20:19
qbitai_news|453697,qbitai_news,https://www.qbitai.com/2026/07/453697.html,商汤大装置联合近20家生态伙伴发起“银河计划”，将共建5个万卡级国产智算集群,加速国产算力从落地可用到规模化盈利,https://www.qbitai.com/wp-content/uploads/2026/07/9ab0efd7d6cb07b901f9921bd508b5b8.jpeg,2026-07-18 14:56:10
x_tweets|2078364141878952242,x_tweets,https://x.com/swyx/status/2078364141878952242,still true https://t.co/2eYqwze1Ae,,,2026-07-18 14:20:00
x_tweets|2078357435203695071,x_tweets,https://x.com/zarazhangrui/status/2078357435203695071,Great video,,,2026-07-18 13:53:21
x_tweets|2078350231490404762,x_tweets,https://x.com/garrytan/status/2078350231490404762,"RT @sdianahu: come join and build something agentic for healthcare, top winner gets a guaranteed YC interview",,,2026-07-18 13:24:43
x_tweets|2078350000631812491,x_tweets,https://x.com/garrytan/status/2078350000631812491,"RT @griffinlee415: Supervisor Fielder states, “Drug tolerant housing suggests that the city allows people to openly use drugs in city-funde…",,,2026-07-18 13:23:48
x_tweets|2078349948219740197,x_tweets,https://x.com/garrytan/status/2078349948219740197,RT @ycombinator: https://t.co/gNl84ElBrq https://t.co/tvIHMrhVdI,,https://pbs.twimg.com/media/HNek4f1bEAAqsBC.jpg,2026-07-18 13:23:36
wscn_news|3777291,wscn_news,https://wallstreetcn.com/articles/3777291,高盛点评Kimi K3：中国开源模型“智能”达到全球普及关键点，高端模型竞争激烈,"高盛表示，Kimi K3以2.8万亿参数横空出世，将API定价拉升至每百万token 2.3美元，创中国模型定价新高，标志着国内AI公司正式从""价格战""迈向""定价权""争夺。然而硬币另一面，智谱单日暴跌28%、MiniMax跌16%，揭示出高端编程赛道竞争白热化下，市场对AI模型公司护城河可持续性的深层焦虑。",https://wpimg-wscn.awtmt.com/815eb4b7-07f5-4a7a-abee-43fc4ed7b8b4.jpeg,2026-07-18 13:11:08
x_tweets|2078339546513883293,x_tweets,https://x.com/amasad/status/2078339546513883293,"RT @babushka99: We were paying close to US$ 270 per month just for our CRM, and with accounting and Invoicing, add another $250 per month.…",,,2026-07-18 12:42:16
x_tweets|2078334631175208999,x_tweets,https://x.com/garrytan/status/2078334631175208999,"RT @AravSrinivas: At its peak, Sun Microsystems was valued at 205B (394B if inflation adjusted). Sold software in enterprise servers. Got d…",,,2026-07-18 12:22:44
x_tweets|2078334565504946382,x_tweets,https://x.com/garrytan/status/2078334565504946382,RT @xwanyex: These people are much more clear-eyed about their project than centrists give them credit for. They aren't interested in the c…,,,2026-07-18 12:22:28
ifanr_news|1672364,ifanr_news,https://www.ifanr.com/1672364,iOS 27 公测版上手：国行 AI 准备好了，但系统流畅更值得升级,有可能成为新一代「钉子户」系统。,https://s3.ifanr.com/images/ep/uploads/%E4%B9%B1%E4%B8%83%E5%85%AB%E7%B3%9F/b3628cb7-bbbd-4001-b03b-9db8fc628b21.jpg,2026-07-18 06:47:24
techcrunch_news|3144034,techcrunch_news,https://techcrunch.com/2026/07/17/neil-rimer-thinks-the-ai-money-is-coming-back-out,Neil Rimer thinks the AI money is coming back out,"Neil Rimer, the venture capitalist who co-founded Index Ventures, predicts the historic wealth AI is generating in Silicon Valley will have to be redistributed, voluntarily or involuntarily.",https://techcrunch.com/wp-content/uploads/2026/07/Screenshot-2026-07-17-at-9.20.56-PM.png,2026-07-18 05:47:25
